run,sheet,sheet_name,section,row_no,field,value,status
3126,Clarifier,Data Sheet - Clarifier,Filtration,6,Initials,OP,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,6,Feed Tank Level (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,6,Feed Pressure (psi),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,6,Perm C (gpm),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,6,Perm D (gpm),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,6,Feed RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,6,Retentate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,6,Permeate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,7,Time,,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,7,Initials,OP,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,7,Feed Tank Level (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,7,Feed Pressure (psi),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,7,Perm C (gpm),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,7,Perm D (gpm),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,7,Feed RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,7,Retentate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,7,Permeate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,8,Time,,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,8,Initials,OP,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,8,Feed Tank Level (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,8,Feed Pressure (psi),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,8,Perm C (gpm),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,8,Perm D (gpm),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,8,Feed RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,8,Retentate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Filtration,8,Permeate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,1,Time,,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,1,Initials,OP,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,1,Feed Tank Level (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,1,Feed Pressure (psi),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,1,Feed RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,1,Retentate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,1,Permeate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,2,Time,,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,2,Initials,OP,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,2,Feed Tank Level (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,2,Feed Pressure (psi),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,2,Feed RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,2,Retentate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,2,Permeate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,3,Time,,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,3,Initials,OP,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,3,Feed Tank Level (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,3,Feed Pressure (psi),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,3,Feed RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,3,Retentate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,3,Permeate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,4,Time,,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,4,Initials,OP,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,4,Feed Tank Level (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,4,Feed Pressure (psi),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,4,Feed RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,4,Retentate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,4,Permeate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,5,Time,,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,5,Initials,OP,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,5,Feed Tank Level (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,5,Feed Pressure (psi),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,5,Feed RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,5,Retentate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,5,Permeate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,6,Time,,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,6,Initials,OP,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,6,Feed Tank Level (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,6,Feed Pressure (psi),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,6,Feed RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,6,Retentate RI (%),,Complete
3126,Clarifier,Data Sheet - Clarifier,Diafiltration,6,Permeate RI (%),,Complete
